date,product_id,sales,quantity,price,category,revenue,day_of_week,month
2020-01-01,Product_1,451.27,9,55.47,Clothing,4061.43,Wednesday,January
2020-01-01,Product_2,500.02,11,31.73,Clothing,5500.219999999999,Wednesday,January
2020-01-01,Product_3,427.31,17,39.97,Toys,7264.27,Wednesday,January
2020-01-01,Product_4,460.65,27,92.84,Electronics,12437.55,Wednesday,January
2020-01-02,Product_1,437.32,9,59.24,Food,3935.88,Thursday,January
2020-01-02,Product_2,499.9,11,54.17,Clothing,5498.9,Thursday,January
2020-01-02,Product_3,415.07,16,65.68,Books,6641.12,Thursday,January
2020-01-02,Product_4,466.96,27,68.63,Electronics,12607.92,Thursday,January
2020-01-03,Product_2,547.11,12,84.54,Electronics,6565.32,Friday,January
2020-01-03,Product_3,434.99,17,53.7,Food,7394.83,Friday,January
2020-01-03,Product_1,479.45,10,66.08,Electronics,4794.5,Friday,January
2020-01-03,Product_4,465.46,27,79.81,Electronics,12567.42,Friday,January
2020-01-04,Product_4,515.39,30,52.12,Food,15461.7,Saturday,January
2020-01-04,Product_3,465.34,18,51.72,Electronics,8376.119999999999,Saturday,January
2020-01-04,Product_1,409.13,9,34.58,Clothing,3682.17,Saturday,January
2020-01-04,Product_2,506.26,11,30.7,Electronics,5568.86,Saturday,January
2020-01-05,Product_1,413.67,9,60.36,Books,3723.03,Sunday,January
2020-01-05,Product_2,465.54,10,59.99,Books,4655.400000000001,Sunday,January
2020-01-05,Product_3,451.97,18,38.99,Electronics,8135.460000000001,Sunday,January
2020-01-05,Product_4,514.75,30,36.64,Electronics,15442.5,Sunday,January
2020-01-06,Product_4,426.62,25,42.74,Toys,10665.5,Monday,January
2020-01-06,Product_1,423.11,9,59.0,Electronics,3807.99,Monday,January
2020-01-06,Product_3,426.18,17,51.5,Clothing,7245.06,Monday,January
2020-01-06,Product_2,501.46,11,55.79,Electronics,5516.06,Monday,January
2020-01-07,Product_3,385.76,15,38.38,Clothing,5786.4,Tuesday,January
2020-01-07,Product_4,458.73,27,64.6,Food,12385.71,Tuesday,January
2020-01-07,Product_5,188.14,4,30.68,Books,752.56,Tuesday,January
2020-01-07,Product_1,404.36,8,66.96,Electronics,3234.88,Tuesday,January
2020-01-07,Product_2,501.22,11,74.11,Food,5513.42,Tuesday,January
2020-01-08,Product_1,465.65,10,96.82,Food,4656.5,Wednesday,January
2020-01-08,Product_2,532.56,11,42.2,Electronics,5858.16,Wednesday,January
2020-01-08,Product_3,444.38,18,43.04,Clothing,7998.84,Wednesday,January
2020-01-08,Product_4,500.52,29,39.44,Books,14515.08,Wednesday,January
2020-01-09,Product_3,470.18,19,60.41,Food,8933.42,Thursday,January
2020-01-09,Product_1,411.37,9,56.0,Food,3702.33,Thursday,January
2020-01-09,Product_2,452.0,10,49.92,Food,4520.0,Thursday,January
2020-01-09,Product_4,503.61,29,93.84,Toys,14604.69,Thursday,January
2020-01-10,Product_1,435.71,9,97.35,Clothing,3921.39,Friday,January
2020-01-10,Product_3,428.94,17,99.08,Toys,7291.98,Friday,January
2020-01-10,Product_4,511.67,30,49.97,Toys,15350.1,Friday,January
2020-01-10,Product_5,205.35,4,40.97,Books,821.4,Friday,January
2020-01-10,Product_2,524.0,11,73.36,Food,5764.0,Friday,January
2020-01-11,Product_1,465.13,10,72.02,Food,4651.3,Saturday,January
2020-01-11,Product_4,509.06,30,78.17,Toys,15271.8,Saturday,January
2020-01-11,Product_3,485.45,19,31.27,Clothing,9223.55,Saturday,January
2020-01-11,Product_2,548.92,12,78.47,Books,6587.039999999999,Saturday,January
2020-01-12,Product_2,490.38,10,93.07,Books,4903.8,Sunday,January
2020-01-12,Product_1,411.5,9,64.18,Clothing,3703.5,Sunday,January
