date,product_id,sales,quantity,price,category,revenue,day_of_week,month
2020-01-01,Product_1,433.96,31,51.1,Food,13452.76,Wednesday,January
2020-01-02,Product_1,383.95,28,56.8,Clothing,10750.6,Thursday,January
2020-01-03,Product_1,428.64,31,36.22,Electronics,13287.84,Friday,January
2020-01-04,Product_1,384.88,28,32.45,Books,10776.64,Saturday,January
2020-01-05,Product_1,316.8,23,86.06,Toys,7286.400000000001,Sunday,January
2020-01-06,Product_1,311.33,22,30.6,Books,6849.259999999999,Monday,January
2020-01-07,Product_1,404.07,29,48.18,Toys,11718.03,Tuesday,January
2020-01-08,Product_1,363.82,26,97.24,Toys,9459.32,Wednesday,January
2020-01-09,Product_1,420.28,30,37.6,Books,12608.4,Thursday,January
2020-01-10,Product_1,432.46,31,37.37,Food,13406.26,Friday,January
2020-01-11,Product_1,396.84,29,92.72,Electronics,11508.359999999999,Saturday,January
2020-01-12,Product_1,358.85,26,89.91,Electronics,9330.1,Sunday,January
2020-01-13,Product_1,335.8,24,39.08,Food,8059.200000000001,Monday,January
2020-01-14,Product_1,340.36,24,91.51,Books,8168.64,Tuesday,January
2020-01-15,Product_1,422.94,31,85.71,Toys,13111.14,Wednesday,January
2020-01-16,Product_1,387.71,28,68.3,Food,10855.88,Thursday,January
2020-01-17,Product_1,425.63,31,74.48,Clothing,13194.53,Friday,January
2020-01-18,Product_1,373.81,27,60.25,Electronics,10092.87,Saturday,January
2020-01-19,Product_1,364.61,26,88.7,Clothing,9479.86,Sunday,January
2020-01-20,Product_1,453.54,33,30.32,Food,14966.820000000002,Monday,January
2020-01-21,Product_1,382.11,28,82.56,Food,10699.08,Tuesday,January
2020-01-22,Product_1,410.15,30,52.4,Food,12304.5,Wednesday,January
2020-01-23,Product_1,440.02,32,26.78,Toys,14080.64,Thursday,January
2020-01-24,Product_1,428.95,31,69.12,Electronics,13297.449999999999,Friday,January
2020-01-25,Product_1,382.52,28,26.67,Toys,10710.56,Saturday,January
2020-01-26,Product_1,396.95,29,21.36,Electronics,11511.55,Sunday,January
2020-01-27,Product_1,395.76,29,48.7,Toys,11477.039999999999,Monday,January
2020-01-28,Product_1,371.46,27,87.48,Books,10029.42,Tuesday,January
2020-01-29,Product_1,392.75,28,98.02,Toys,10997.0,Wednesday,January
2020-01-30,Product_1,424.97,31,62.22,Clothing,13174.070000000002,Thursday,January
2020-01-31,Product_1,481.83,35,54.04,Food,16864.05,Friday,January
2020-02-01,Product_1,445.99,32,55.44,Electronics,14271.68,Saturday,February
2020-02-02,Product_1,382.13,28,47.95,Food,10699.64,Sunday,February
2020-02-03,Product_1,427.37,31,44.33,Books,13248.47,Monday,February
2020-02-04,Product_1,377.06,27,55.77,Electronics,10180.62,Tuesday,February
2020-02-05,Product_1,415.17,30,85.45,Clothing,12455.1,Wednesday,February
2020-02-06,Product_1,433.82,31,87.78,Books,13448.42,Thursday,February
2020-02-07,Product_1,488.8,35,91.09,Toys,17108.0,Friday,February
2020-02-08,Product_1,564.48,41,52.36,Clothing,23143.68,Saturday,February
2020-02-09,Product_1,453.69,33,70.72,Electronics,14971.77,Sunday,February
2020-02-10,Product_1,474.57,34,27.98,Electronics,16135.38,Monday,February
2020-02-11,Product_1,425.66,31,45.03,Food,13195.460000000001,Tuesday,February
2020-02-12,Product_1,458.36,33,54.91,Electronics,15125.880000000001,Wednesday,February
2020-02-13,Product_1,459.68,33,56.79,Toys,15169.44,Thursday,February
2020-02-14,Product_1,435.49,31,95.62,Toys,13500.19,Friday,February
2020-02-15,Product_1,447.63,32,33.82,Clothing,14324.16,Saturday,February
2020-02-16,Product_1,437.67,32,63.52,Electronics,14005.44,Sunday,February
2020-02-17,Product_1,499.12,36,84.11,Toys,17968.32,Monday,February
2020-02-18,Product_1,424.88,31,77.52,Clothing,13171.28,Tuesday,February
2020-02-19,Product_1,403.31,29,91.16,Food,11695.99,Wednesday,February
2020-02-20,Product_1,426.48,31,47.91,Clothing,13220.880000000001,Thursday,February
2020-02-21,Product_1,432.99,31,75.84,Food,13422.69,Friday,February
2020-02-22,Product_1,454.52,33,43.87,Clothing,14999.16,Saturday,February
2020-02-23,Product_1,448.88,32,94.34,Books,14364.16,Sunday,February
2020-02-24,Product_1,431.76,31,32.02,Books,13384.56,Monday,February
2020-02-25,Product_1,438.72,32,58.6,Toys,14039.04,Tuesday,February
2020-02-26,Product_1,452.28,33,26.4,Toys,14925.24,Wednesday,February
2020-02-27,Product_1,444.49,32,43.37,Books,14223.68,Thursday,February
2020-02-28,Product_1,485.82,35,30.23,Toys,17003.7,Friday,February
2020-02-29,Product_1,460.69,33,88.62,Food,15202.77,Saturday,February
2020-03-01,Product_1,397.28,29,54.43,Electronics,11521.119999999999,Sunday,March
2020-03-02,Product_1,468.96,34,76.78,Food,15944.64,Monday,March
2020-03-03,Product_1,421.13,30,59.09,Clothing,12633.9,Tuesday,March
2020-03-04,Product_1,394.34,28,50.34,Clothing,11041.519999999999,Wednesday,March
2020-03-05,Product_1,497.6,36,85.32,Books,17913.600000000002,Thursday,March
2020-03-06,Product_1,455.03,33,22.49,Books,15015.99,Friday,March
2020-03-07,Product_1,486.65,35,75.53,Toys,17032.75,Saturday,March
2020-03-08,Product_1,465.64,34,72.63,Books,15831.76,Sunday,March
2020-03-09,Product_1,415.81,30,46.25,Books,12474.3,Monday,March
2020-03-10,Product_1,410.77,30,53.68,Electronics,12323.099999999999,Tuesday,March
2020-03-11,Product_1,433.29,31,96.73,Clothing,13431.99,Wednesday,March
2020-03-12,Product_1,430.29,31,67.51,Books,13338.99,Thursday,March
2020-03-13,Product_1,465.45,34,46.44,Food,15825.3,Friday,March
2020-03-14,Product_1,444.94,32,86.77,Toys,14238.08,Saturday,March
2020-03-15,Product_1,410.93,30,45.83,Clothing,12327.9,Sunday,March
2020-03-16,Product_1,421.78,30,34.42,Clothing,12653.4,Monday,March
2020-03-17,Product_1,398.1,29,91.26,Clothing,11544.900000000001,Tuesday,March
2020-03-18,Product_1,499.59,36,79.61,Food,17985.239999999998,Wednesday,March
2020-03-19,Product_1,504.28,36,77.17,Electronics,18154.079999999998,Thursday,March
2020-03-20,Product_1,514.07,37,62.85,Food,19020.59,Friday,March
2020-03-21,Product_1,504.65,37,20.91,Clothing,18672.05,Saturday,March
2020-03-22,Product_1,451.07,33,60.73,Clothing,14885.31,Sunday,March
2020-03-23,Product_1,459.24,33,63.18,Clothing,15154.92,Monday,March
2020-03-24,Product_1,442.14,32,57.62,Clothing,14148.48,Tuesday,March
2020-03-25,Product_1,486.01,35,30.48,Electronics,17010.35,Wednesday,March
2020-03-26,Product_1,408.08,29,59.33,Food,11834.32,Thursday,March
2020-03-27,Product_1,442.02,32,34.76,Toys,14144.64,Friday,March
2020-03-28,Product_1,451.55,33,71.76,Toys,14901.15,Saturday,March
2020-03-29,Product_1,438.53,32,76.54,Books,14032.96,Sunday,March
2020-03-30,Product_1,440.75,32,55.29,Clothing,14104.0,Monday,March
2020-03-31,Product_1,409.67,30,31.52,Clothing,12290.1,Tuesday,March
2020-04-01,Product_1,413.27,30,81.62,Books,12398.099999999999,Wednesday,April
2020-04-02,Product_1,489.53,35,85.72,Food,17133.55,Thursday,April
2020-04-03,Product_1,475.87,34,66.89,Toys,16179.58,Friday,April
2020-04-04,Product_1,478.66,35,89.84,Food,16753.100000000002,Saturday,April
2020-04-05,Product_1,449.65,32,82.96,Electronics,14388.8,Sunday,April
2020-04-06,Product_1,426.8,31,90.68,Clothing,13230.800000000001,Monday,April
2020-04-07,Product_1,408.27,29,35.18,Toys,11839.83,Tuesday,April
2020-04-08,Product_1,496.39,36,20.61,Toys,17870.04,Wednesday,April
2020-04-09,Product_1,466.05,34,86.46,Books,15845.7,Thursday,April
2020-04-10,Product_1,519.92,38,60.22,Toys,19756.96,Friday,April
2020-04-11,Product_1,486.67,35,44.51,Toys,17033.45,Saturday,April
2020-04-12,Product_1,441.22,32,60.96,Books,14119.04,Sunday,April
2020-04-13,Product_1,342.71,25,46.06,Toys,8567.75,Monday,April
2020-04-14,Product_1,396.36,29,22.09,Toys,11494.44,Tuesday,April
2020-04-15,Product_1,460.73,33,43.08,Electronics,15204.09,Wednesday,April
2020-04-16,Product_1,449.73,32,53.34,Clothing,14391.36,Thursday,April
2020-04-17,Product_1,456.84,33,92.8,Clothing,15075.72,Friday,April
2020-04-18,Product_1,470.37,34,99.46,Toys,15992.58,Saturday,April
2020-04-19,Product_1,448.96,32,51.21,Food,14366.72,Sunday,April
2020-04-20,Product_1,422.01,30,54.89,Toys,12660.3,Monday,April
2020-04-21,Product_1,439.46,32,73.21,Food,14062.72,Tuesday,April
2020-04-22,Product_1,427.79,31,92.91,Clothing,13261.49,Wednesday,April
2020-04-23,Product_1,467.1,34,63.95,Books,15881.400000000001,Thursday,April
2020-04-24,Product_1,440.83,32,20.82,Clothing,14106.56,Friday,April
2020-04-25,Product_1,461.0,33,89.35,Electronics,15213.0,Saturday,April
2020-04-26,Product_1,416.84,30,53.38,Food,12505.199999999999,Sunday,April
2020-04-27,Product_1,404.51,29,98.22,Electronics,11730.789999999999,Monday,April
2020-04-28,Product_1,380.72,27,46.46,Electronics,10279.44,Tuesday,April
2020-04-29,Product_1,435.19,31,65.21,Clothing,13490.89,Wednesday,April
2020-04-30,Product_1,505.8,37,23.33,Electronics,18714.600000000002,Thursday,April
2020-05-01,Product_1,537.45,39,23.12,Books,20960.550000000003,Friday,May
2020-05-02,Product_1,459.25,33,33.36,Toys,15155.25,Saturday,May
2020-05-03,Product_1,439.68,32,29.79,Books,14069.76,Sunday,May
2020-05-04,Product_1,381.87,28,89.21,Food,10692.36,Monday,May
2020-05-05,Product_1,449.39,32,76.74,Toys,14380.48,Tuesday,May
2020-05-06,Product_1,447.37,32,79.31,Food,14315.84,Wednesday,May
2020-05-07,Product_1,416.15,30,94.98,Books,12484.5,Thursday,May
2020-05-08,Product_1,412.86,30,94.86,Toys,12385.800000000001,Friday,May
2020-05-09,Product_1,387.71,28,24.74,Food,10855.88,Saturday,May
2020-05-10,Product_1,452.53,33,83.21,Toys,14933.49,Sunday,May
2020-05-11,Product_1,405.95,29,52.21,Food,11772.55,Monday,May
2020-05-12,Product_1,442.3,32,90.27,Food,14153.6,Tuesday,May
2020-05-13,Product_1,434.31,31,95.22,Electronics,13463.61,Wednesday,May
2020-05-14,Product_1,442.04,32,25.7,Electronics,14145.28,Thursday,May
2020-05-15,Product_1,414.74,30,21.27,Clothing,12442.2,Friday,May
2020-05-16,Product_1,482.18,35,67.44,Food,16876.3,Saturday,May
2020-05-17,Product_1,441.43,32,71.52,Toys,14125.76,Sunday,May
2020-05-18,Product_1,372.45,27,61.47,Books,10056.15,Monday,May
2020-05-19,Product_1,395.65,29,30.92,Books,11473.849999999999,Tuesday,May
2020-05-20,Product_1,467.97,34,35.66,Food,15910.980000000001,Wednesday,May
2020-05-21,Product_1,467.0,34,38.74,Clothing,15878.0,Thursday,May
2020-05-22,Product_1,438.14,32,79.25,Food,14020.48,Friday,May
2020-05-23,Product_1,435.26,31,49.36,Electronics,13493.06,Saturday,May
2020-05-24,Product_1,449.29,32,59.77,Books,14377.28,Sunday,May
2020-05-25,Product_1,431.83,31,32.38,Clothing,13386.73,Monday,May
2020-05-26,Product_1,574.68,42,33.73,Clothing,24136.559999999998,Tuesday,May
2020-05-27,Product_1,383.18,28,62.33,Food,10729.04,Wednesday,May
2020-05-28,Product_1,493.87,36,82.6,Electronics,17779.32,Thursday,May
2020-05-29,Product_1,439.55,32,75.18,Electronics,14065.6,Friday,May
2020-05-30,Product_1,474.86,34,69.1,Books,16145.24,Saturday,May
2020-05-31,Product_1,487.86,35,66.43,Food,17075.100000000002,Sunday,May
2020-06-01,Product_1,437.89,32,99.66,Electronics,14012.48,Monday,June
