ds,yhat
2010-02-05,28011444.2566892
2010-02-12,28782632.170080286
2010-02-19,28501470.25791982
2010-02-26,27905371.39593278
2010-03-05,27713779.957114615
2010-03-12,28036557.036702417
2010-03-19,28503236.57589741
2010-03-26,28768024.759892892
2010-04-02,28793909.649067737
2010-04-09,28735570.352112807
2010-04-16,28706276.344197735
2010-04-23,28716781.21469918
2010-04-30,28759429.049756873
2010-05-07,28849940.011012916
2010-05-14,28981684.908312064
2010-05-21,29108608.727878075
2010-05-28,29208103.519629665
2010-06-04,29317473.390080113
2010-06-11,29459117.561897058
2010-06-18,29553587.733816303
2010-06-25,29477955.413110655
2010-07-02,29234071.68909738
2010-07-09,29002124.13054434
2010-07-16,28964894.883312184
2010-07-23,29092725.115196574
2010-07-30,29169329.07151506
2010-08-06,29051257.386454895
2010-08-13,28837795.054360233
2010-08-20,28717586.513919547
2010-08-27,28678327.61074358
2010-09-03,28477766.066485684
2010-09-10,27963110.566987175
2010-09-17,27353785.50749287
2010-09-24,27089740.99735307
2010-10-01,27366076.566670988
2010-10-08,27897724.378150713
2010-10-15,28223128.507033527
2010-10-22,28208726.057842568
2010-10-29,28154585.85201036
2010-11-05,28382381.549178634
2010-11-12,28834404.840014018
2010-11-19,29202151.047924157
2010-11-26,29412028.22256613
2010-12-03,29786489.728271995
2010-12-10,30565467.67388556
2010-12-17,31326649.466980126
2010-12-24,31117759.05531052
2010-12-31,29367640.9369142
2011-01-07,26675338.412300408
2011-01-14,24547081.235955887
2011-01-21,24197316.009713754
2011-01-28,25538291.746347833
2011-02-04,27331658.738859665
2011-02-11,28313632.212278124
2011-02-18,28180532.335483473
2011-02-25,27576584.948713705
2011-03-04,27285557.143870126
2011-03-11,27536832.675830055
2011-03-18,28010864.15317299
2011-03-25,28328413.94977771
2011-04-01,28392410.361086067
2011-04-08,28342233.80064589
2011-04-15,28313392.190447956
2011-04-22,28326616.204324212
2011-04-29,28371308.420390375
2011-05-06,28460959.70252931
2011-05-13,28597702.93182672
2011-05-20,28738469.66238032
2011-05-27,28851088.97713007
2011-06-03,28965461.5382461
2011-06-10,29114350.33889259
2011-06-17,29237517.050600242
2011-06-24,29208157.51742399
2011-07-01,28996715.783020582
2011-07-08,28757435.42820568
2011-07-15,28691569.589037914
2011-07-22,28814738.09428525
2011-07-29,28931038.067833304
2011-08-05,28861482.170845035
2011-08-12,28663797.632983856
2011-08-19,28536936.766933315
2011-08-26,28514803.89949353
2011-09-02,28379862.76458627
2011-09-09,27934553.83170483
2011-09-16,27330049.86053704
2011-09-23,26996432.86209111
2011-09-30,27203767.020040452
2011-10-07,27745216.370516732
2011-10-14,28151027.485891506
2011-10-21,28203900.05917237
2011-10-28,28146010.024318706
2011-11-04,28334259.484828893
2011-11-11,28787032.200062077
2011-11-18,29207215.572638754
2011-11-25,29449380.111928303
2011-12-02,29784361.81632272
2011-12-09,30518492.76812707
2011-12-16,31365871.369476143
2011-12-23,31416795.975047942
2011-12-30,29955002.9900195
2012-01-06,27353361.78413741
2012-01-13,25028338.05149167
2012-01-20,24343481.39976602
2012-01-27,25471259.63889091
2012-02-03,27312307.85506644
2012-02-10,28514917.54288094
2012-02-17,28572253.25490719
2012-02-24,28005405.20981879
2012-03-02,27640038.216290146
2012-03-09,27826023.553492915
2012-03-16,28312077.25758291
2012-03-23,28689588.961281992
2012-03-30,28806806.701676596
2012-04-06,28779160.94441729
2012-04-08,27910858.895196065
2012-04-15,27897690.576580904
2012-04-22,27925310.60646595
2012-04-29,27984672.430040997
2012-05-06,28090812.54014732
2012-05-13,28240316.38793861
2012-05-20,28388466.674862254
2012-05-27,28508621.790400267
2012-06-03,28635084.556162797
2012-06-10,28795148.92660419
2012-06-17,28916880.135475792
2012-06-24,28875077.50562138
2012-07-01,28658225.741911974
2012-07-08,28437284.66415464
2012-07-15,28403393.967129886
2012-07-22,28545017.157740083
2012-07-29,28651935.64189511
2012-08-05,28566664.852951106
2012-08-12,28372410.332805097
2012-08-19,28261818.71620493
2012-08-26,28242759.18274999
2012-09-02,28081582.41645293
2012-09-09,27606258.291166954
2012-09-16,27008661.549766704
2012-09-23,26727446.411406633
2012-09-30,26988884.242027555
2012-10-07,27538085.512337275
2012-10-14,27908023.196879923
2012-10-21,27930981.525194842
